dialogue|tag|response
seizur foc resect|brain|brain
seizur focuz resect|brain|brain
sizur focus resect|brain|brain
cortcal map|brain|brain
corticl map|brain|brain
cortic mape|brain|brain
function neurosurgri|brain|brain
functionl neurosurgeri|brain|brain
function neurosrgeri|brain|brain
laminetomi|brain|brain
laminotomi|brain|brain
laminecotmi|brain|brain
spinal fusionn|brain|brain
spinal fussion|brain|brain
spnal fusion|brain|brain
diseectomi|brain|brain
discectmi|brain|brain
diskectomi|brain|brain
microsurgri|brain|brain
microssurgeri|brain|brain
radiosurgri|brain|brain
radiosrugeri|brain|brain
radiousrgeri|brain|brain
gamma nife|brain|brain
gamna knife|brain|brain
gama knife|brain|brain
cyber nife|brain|brain
cyber kife|brain|brain
cybernif|brain|brain
protin therapi|brain|brain
protin therpi|brain|brain
proton thrapi|brain|brain
arteriovn malform repair|brain|brain
arteriovinus malform surgeri|brain|brain
artterioven malformt repair|brain|brain
skul fractur repair|brain|brain
scul fractur repar|brain|brain
skull fractur repair|brain|brain
hemorrhag evac|brain|brain
hemmorrhag evacu|brain|brain
hemorhag evacu|brain|brain
intracerebr hemorhag surgeri|brain|brain
intracerebr hemmorag surgeri|brain|brain
intracerebr hemorag surgeri|brain|brain
subdurr hematoma surgeri|brain|brain
subddur hematoma srugeri|brain|brain
subdur hemotoma surgeri|brain|brain
epidurr hematoma surgeri|brain|brain
epedur hematoma surgeri|brain|brain
epidura hematoma surgeri|brain|brain
burr whole surgeri|brain|brain
bur hole surgeri|brain|brain
bur whole surgeri|brain|brain
stereotact radiosurgri|brain|brain
stereotact radiosrugeri|brain|brain
stereotactc radiosurgeri|brain|brain
trigemn neuralgia surgeri|brain|brain
trigemn neuralga surgeri|brain|brain
trigemin neualgia surgeri|brain|brain
microvascluar decompress|brain|brain
microvasclr decompress|brain|brain
microvascular decompres|brain|brain
postrior fossa surgeri|brain|brain
posteiror fossa surgeri|brain|brain
posterior fosa surgeri|brain|brain
transsfenoid surgeri|brain|brain
transsfenoidl surgeri|brain|brain
transphenoid surgeri|brain|brain
transor srugeri|brain|brain
transoal surgeri|brain|brain
transorl surgeri|brain|brain
brainsteem surgeri|brain|brain
branistem surgeri|brain|brain
brainstem surgri|brain|brain
medullobastoma surgeri|brain|brain
meduloblastma surgeri|brain|brain
medulloblasoma surgeri|brain|brain
ependymoma srugeri|brain|brain
epenymoma surgeri|brain|brain
ependymama surgeri|brain|brain
acousitc neuroma surgeri|brain|brain
acousitc neuromma surgeri|brain|brain
accoust neuroma surgeri|brain|brain
schwannma surgeri|brain|brain
schwanoma surgeri|brain|brain
schwannoma srugeri|brain|brain
brain cyst remvov|brain|brain
brain cyst remvl|brain|brain
brain cyyst remov|brain|brain
hydrocephlus surgeri|brain|brain
hydrecephalus surgeri|brain|brain
hydrocephalus srugeri|brain|brain
endscop third ventriculostomi|brain|brain
endoscop third ventriculostomi|brain|brain
endoscp third ventriculostmi|brain|brain
intracrain pressur monitor|brain|brain
intracranl pressur monitor|brain|brain
intracrni pressur monitor|brain|brain
brain decompress surgeri|brain|brain
brain decompres surgeri|brain|brain
brain decomres surgeri|brain|brain
pineal tumor srugeri|brain|brain
pinal tumor surgeri|brain|brain
pineal tumr surgeri|brain|brain
cerabellar surgeri|brain|brain
cerebllar surgeri|brain|brain
brain herniaton surgeri|brain|brain
brain herniat srugeri|brain|brain
brain herneat surgeri|brain|brain
neurosurg procedur|brain|brain
neurosrg procedur|brain|brain
neurosurg proceder|brain|brain
neuronavigt|brain|brain
neuronavigationn|brain|brain
brainmap|brain|brain
brain mpping|brain|brain
imag guid surgri|brain|brain
image-guidd surgeri|brain|brain
image-guid surgeri|brain|brain
minimlli invas surgeri|brain|brain
minimlli invasiv surgeri|brain|brain
minim invas brain srugeri|brain|brain
intraop mmr|brain|brain
intraopr mri|brain|brain
intraopr mra|brain|brain
intraopr ct|brain|brain
funcion mri|brain|brain
functin mri|brain|brain
tumr debulk|brain|brain
tumour debulk|brain|brain
tumor debulkingg|brain|brain
lesionectmi|brain|brain
hemispherectmi|brain|brain
neuron|brain|brain
neuro|brain|brain
neurogenesi|brain|brain
neuroplast|brain|brain
astrocyt|brain|brain
oligodendrocyt|brain|brain
microglia|brain|brain
hippocampus|brain|brain
amygdala|brain|brain
frontal lobe|brain|brain
pariet lobe|brain|brain
occipit lobe|brain|brain
neuro|brain|brain
neur|brain|brain
neuoro|brain|brain
neuro|brain|brain
corpus callosum|brain|brain
basal ganglia|brain|brain
prefront cortex|brain|brain
tempor lobe|brain|brain
occipit lobe|brain|brain
pariet lobe|brain|brain
medulla oblongata|brain|brain
pineal gland|brain|brain
pituitari gland|brain|brain
alzheim|brain|brain
parkinson|brain|brain
multipl sclerosi|brain|brain
brain tumor|brain|brain
chronic traumat encephalopathi ( cte )|brain|brain
brain aneurysm|brain|brain
enceph|brain|brain
mening|brain|brain
creutzfeldt-jakob ( cjd )|brain|brain
hydrocephalus|brain|brain
brain abscess|brain|brain
brain atrophi|brain|brain
myasthenia gravi|brain|brain
tension headach|brain|brain
cluster headach|brain|brain
neurodegen|brain|brain
autoimmun enceph|brain|brain
electroencephalogram ( eeg )|brain|brain
magnet reson imag ( mri )|brain|brain
comput tomographi ( ct ) scan|brain|brain
lumbar punctur ( spinal tap )|brain|brain
positron emiss tomographi ( pet ) scan|brain|brain
neuroendoscopi|brain|brain
cerebr angiographi|brain|brain
brain biopsi|brain|brain
cerebrospin fluid ( csf ) analysi|brain|brain
deep brain stimul ( dbs )|brain|brain
neuropsycholog test|brain|brain
migrain|brain|brain
cognit dysfunct|brain|brain
neurodegener|brain|brain
neuropsycholog disord|brain|brain
brain tumor|brain|brain
memori loss|brain|brain
neurodevelopment disord|brain|brain
brain injuri|brain|brain
neuroinflamm|brain|brain
stroke|brain|brain
epilepsi|brain|brain
neurocognit disord|brain|brain
enceph|brain|brain
dementia|brain|brain
brain aneurysm|brain|brain
neurogenet disord|brain|brain
parkinson 's|brain|brain
alzheim 's|brain|brain
seizur|brain|brain
neurotox effect|brain|brain
brain lesion|brain|brain
migrain headach|brain|brain
traumat brain injuri|brain|brain
neurofibromatosi|brain|brain
brain hemorrhag|brain|brain
neurovascular disord|brain|brain
attent deficit disord|brain|brain
schizophrenia|brain|brain
bipolar disord|brain|brain
autism spectrum disord|brain|brain
neurobehavior disord|brain|brain
cerebr palsi|brain|brain
multipl sclerosi|brain|brain
brain abscess|brain|brain
mening|brain|brain
encephalopathi|brain|brain
neuroblastoma|brain|brain
brain metastasi|brain|brain
glioma|brain|brain
medulloblastoma|brain|brain
hypox brain injuri|brain|brain
neurocysticercosi|brain|brain
neurosarcoidosi|brain|brain
cerebr edema|brain|brain
normal pressur hydrocephalus|brain|brain
frontotempor dementia|brain|brain
vascular dementia|brain|brain
lewi bodi dementia|brain|brain
progress supranuclear palsi|brain|brain
pick 's|brain|brain
huntington 's|brain|brain
creutzfeldt-jakob|brain|brain
neurocardiogen syncop|brain|brain
chronic traumat encephalopathi|brain|brain
mood disord|brain|brain
obsessive-compuls disord|brain|brain
panic disord|brain|brain
post-traumat stress disord|brain|brain
neuropharmacolog|brain|brain
neurotoxin exposur|brain|brain
cerebr vascul|brain|brain
neuroimmunolog|brain|brain
neuroendocrin tumor|brain|brain
cognit impair|brain|brain
neuropsychosi|brain|brain
neurobiolog disord|brain|brain
brainstem disord|brain|brain
neuroanatomi|brain|brain
cerebrovascular accid|brain|brain
neurobiolog condit|brain|brain
neuroepitheli tumor|brain|brain
neurotroph disord|brain|brain
neurodegen s|brain|brain
neuropsychiatri|brain|brain
brain patholog|brain|brain
neurotrauma|brain|brain
neurosci|brain|brain
cerebr vascular malform|brain|brain
neurodevelopment anomali|brain|brain
neurodystrophi|brain|brain
neurovascular malform|brain|brain
neuroimmun disord|brain|brain
cerebr cortex|brain|brain
neurotransmitt|brain|brain
brainstem|brain|brain
cerebellum|brain|brain
prefront cortex|brain|brain
hemispher|brain|brain
cerebrospin fluid|brain|brain
synaps|brain|brain
tempor lobe|brain|brain
gray matter|brain|brain
white matter|brain|brain
neuroimag|brain|brain
electroencephalogram|brain|brain
brain wave|brain|brain
cognit function|brain|brain
neurodevelop|brain|brain
neuropsycholog|brain|brain
stroke rehabilit|brain|brain
neurotoxin|brain|brain
epilepsi|brain|brain
brain activ|brain|brain
neurofeedback|brain|brain
brain scan|brain|brain
neuropsycholog assess|brain|brain
mental health|brain|brain
neurobiolog|brain|brain
neurobehavior|brain|brain
cognit declin|brain|brain
neurosurgeri|brain|brain
brain function|brain|brain
neurorehabilit|brain|brain
brain plastic|brain|brain
neuroendocrinolog|brain|brain
neuroetholog|brain|brain
neurobiolog|brain|brain
neurotherapi|brain|brain
neurohistolog|brain|brain
brain map|brain|brain
neurotoxicolog|brain|brain
neurochemistri|brain|brain
neurocardiolog|brain|brain
brain dysfunct|brain|brain
neuroinformat|brain|brain
neuroplast|brain|brain
neuroengin|brain|brain
neurotroph factor|brain|brain
cognit therapi|brain|brain
neuroimmunolog|brain|brain
neurovascular|brain|brain
brain|brain|brain
neurotransmiss|brain|brain
neurophysiolog|brain|brain
brain injuri recoveri|brain|brain
neurocognit|brain|brain
brain health|brain|brain
neurobehavior therapi|brain|brain
brainstem injuri|brain|brain
neurogenet|brain|brain
neuroimag techniqu|brain|brain
neurotransmitt system|brain|brain
neurodevelopment delay|brain|brain
brain wave activ|brain|brain
neuropharmacolog|brain|brain
neurobiolog research|brain|brain
neurodiagnost|brain|brain
brain health assess|brain|brain
neurodegen disord|brain|brain
neurodiagnost test|brain|brain
neuroscientif research|brain|brain
neurodevelopment studi|brain|brain
neuropsycholog evalu|brain|brain
neuroendocrin system|brain|brain
neuropsychometr test|brain|brain
brain|brain|Study of the nervous system and the brain.
neurologist|brain|Specialist in the field of neurology.
nervous system|brain|Study of the nervous system and the brain.
teeth doctor|dentist|teeth
enamel|dentist|dentist
dentin|dentist|dentist
pulp|dentist|dentist
gingiva|dentist|dentist
periodont ligament|dentist|dentist
crown|dentist|dentist
root|dentist|dentist
cementum|dentist|dentist
incisor|dentist|dentist
molar|dentist|dentist
premolar|dentist|dentist
canin|dentist|dentist
cari|dentist|dentist
gingiv|dentist|dentist
periodont|dentist|dentist
halitosi|dentist|dentist
pulpiti|dentist|dentist
abscess|dentist|dentist
bruxism|dentist|dentist
oral cancer|dentist|dentist
herp simplex|dentist|dentist
x-ray|dentist|dentist
prophylaxi|dentist|dentist
periodont chart|dentist|dentist
bitew|dentist|dentist
panoram x-ray|dentist|dentist
clinic examin|dentist|dentist
fill|dentist|dentist
root canal therapi|dentist|dentist
crown|dentist|dentist
bridg|dentist|dentist
dentur|dentist|dentist
scale and root plane|dentist|dentist
tooth extract|dentist|dentist
whiten|dentist|dentist
sealant|dentist|dentist
tooth decay|dentist|dentist
caviti|dentist|dentist
gum|dentist|dentist
gingiv|dentist|dentist
periodont|dentist|dentist
dental plaqu|dentist|dentist
dental calculus|dentist|dentist
root canal|dentist|dentist
tooth extract|dentist|dentist
dental fill|dentist|dentist
dental crown|dentist|dentist
dental bridg|dentist|dentist
dental implant|dentist|dentist
orthodont|dentist|dentist
brace|dentist|dentist
retain|dentist|dentist
teeth whiten|dentist|dentist
dental bond|dentist|dentist
dental veneer|dentist|dentist
enamel eros|dentist|dentist
tooth sensit|dentist|dentist
dental x-ray|dentist|dentist
oral hygien|dentist|dentist
dental -up|dentist|dentist
dental clean|dentist|dentist
fluorid|dentist|dentist
dental sealant|dentist|dentist
periodont|dentist|dentist
toothach|dentist|dentist
dental abscess|dentist|dentist
gum recess|dentist|dentist
dental restor|dentist|dentist
dental calculus remov|dentist|dentist
dental|dentist|dentist
endodont|dentist|dentist
dental prosthesi|dentist|dentist
tooth enamel|dentist|dentist
dental anesthesia|dentist|dentist
oral cancer screen|dentist|dentist
root plan|dentist|dentist
dental scale|dentist|dentist
dental retain|dentist|dentist
oral health|dentist|dentist
bite adjust|dentist|dentist
dental occlus|dentist|dentist
dental fill|dentist|dentist
dental decay|dentist|dentist
oral|dentist|dentist
tooth whiten|dentist|dentist
dental implant|dentist|dentist
dental floss|dentist|dentist
dental trauma|dentist|dentist
mouth guard|dentist|dentist
dental crown replac|dentist|dentist
dental plan|dentist|dentist
oral care product|dentist|dentist
dental assess|dentist|dentist
dental consult|dentist|dentist
dental exam|dentist|dentist
dental therapi|dentist|dentist
dental fill replac|dentist|dentist
tooth extract|dentist|dentist
dental pulp|dentist|dentist
oral patholog|dentist|dentist
dental hygien routin|dentist|dentist
dental brace adjust|dentist|dentist
dental smile makeov|dentist|dentist
tooth enamel eros|dentist|dentist
bite guard|dentist|dentist
oral hygien practic|dentist|dentist
root canal therapi|dentist|dentist
dental x-ray imag|dentist|dentist
gum graft|dentist|dentist
dental decay prevent|dentist|dentist
teeth clean|dentist|dentist
dental caviti|dentist|dentist
dental care|dentist|dentist
jaw align|dentist|dentist
dental extract|dentist|dentist
dental tooth replac|dentist|dentist
dental whiten procedur|dentist|dentist
gum recess|dentist|dentist
dental fill type|dentist|dentist
dental crown instal|dentist|dentist
periodont mainten|dentist|dentist
oral health evalu|dentist|dentist
tooth restor|dentist|dentist
dental pain manag|dentist|dentist
dental bond agent|dentist|dentist
dentur fit|dentist|dentist
dental orthodont|dentist|dentist
dental plaqu control|dentist|dentist
dental emerg care|dentist|dentist
dental growth and develop|dentist|dentist
dental mouth rins|dentist|dentist
dental sealant applic|dentist|dentist
gum prevent|dentist|dentist
dental abscess|dentist|dentist
tooth enamel restor|dentist|dentist
oral cancer prevent|dentist|dentist
tooth sensit manag|dentist|dentist
tooth grind solut|dentist|dentist
periodont|dentist|dentist
dental prosthet devic|dentist|dentist
tooth structur analysi|dentist|dentist
dental hygien educ|dentist|dentist
dental scale procedur|dentist|dentist
dental veneer applic|dentist|dentist
periodont health|dentist|dentist
oral care assess|dentist|dentist
dental brace fit|dentist|dentist
dental applianc care|dentist|dentist
toothach relief|dentist|dentist
dental x-ray analysi|dentist|dentist
gum health|dentist|dentist
dental bridg fit|dentist|dentist
dental tooth repair|dentist|dentist
oral health mainten|dentist|dentist
dental implant fit|dentist|dentist
dental occlus adjust|dentist|dentist
gum tissu care|dentist|dentist
dental enamel|dentist|dentist
dental restor techniqu|dentist|dentist
dental orthodont adjust|dentist|dentist
oral hygien product|dentist|dentist
dental care plan|dentist|dentist
dental restor option|dentist|dentist
oral examin|dentist|dentist
dental aesthet procedur|dentist|dentist
dental option|dentist|dentist
dental health|dentist|dentist
dental care consult|dentist|dentist
dentist|dentist|Field concerned with the diagnosis, prevention, and  of oral s.
bye|end|end
goodby|end|end
see you later|end|end
talk to you soon|end|end
thank , that 's all|end|end
that 's it|end|end
i 'm done|end|end
end chat|end|end
exit|end|end
i 'm finish|end|end
end convers|end|end
close chat|end|end
stop|end|end
cancel|end|end
quit|end|end
i 'm good|end|end
no more question|end|end
that 's enough|end|end
i 'm satisfi|end|end
all set|end|end
no , thank|end|end
see you|end|end
catch you later|end|end
thank you|end|end
thank for your help|end|end
i ’ m okay now|end|end
i ’ m fine|end|end
no further question|end|end
that ’ s all i need|end|end
bye for now|end|end
finish|end|end
sign off|end|end
end|end|end
i ’ ll be back later|end|end
shut down|end|end
noth els|end|end
no more|end|end
i ’ ve got it|end|end
wrap it up|end|end
done for now|end|end
log off|end|end
close|end|end
over and out|end|end
that ’ s all for now|end|end
i ll chat later|end|end
got to go|end|end
got ta go|end|end
time to go|end|end
enough for today|end|end
termin|end|end
i have what i need|end|end
i ’ m all set|end|end
i ’ m fine now|end|end
i ll handl it|end|end
all done|end|end
bye-by|end|end
no thank|end|end
i have to go|end|end
i ’ m good , thank|end|end
end it here|end|end
discontinu|end|end
see you next time|end|end
wrap up|end|end
noth more|end|end
we ’ re done|end|end
i ’ m satisfi , thank|end|end
you ’ ve been help|end|end
i 'm okay , thank|end|end
that ’ s the end|end|end
talk later|end|end
i ’ ll check back later|end|end
i ’ m out|end|end
goodby for now|end|end
sign out|end|end
thank you , goodby|end|end
got ta run|end|end
thank , i ’ m good|end|end
later|end|end
not right now|end|end
call it a day|end|end
i 'm done here|end|end
that 's all i want|end|end
that ’ s all , thank|end|end
it ’ s a wrap|end|end
see ya|end|end
i ’ m okay with this|end|end
not today|end|end
have a nice day|end|end
farewel|end|end
i ’ m log out|end|end
i ’ m head out|end|end
i ’ m satisfi with that|end|end
all right , goodby|end|end
that ’ s everyth|end|end
i ’ m off now|end|end
you can stop now|end|end
i have to leav|end|end
it ’ s time to stop|end|end
we ’ re finish|end|end
no , i ’ m good|end|end
byee|end|end
gudby|end|end
see u ltr|end|end
talk to u sn|end|end
thnx , that all|end|end
that it|end|end
im done|end|end
end caht|end|end
exiit|end|end
i ’ m finishd|end|end
end convrsat|end|end
cloze chat|end|end
stopp|end|end
cancel|end|end
qit|end|end
im gud|end|end
no more qstion|end|end
that enuf|end|end
im satifi|end|end
all seet|end|end
no thx|end|end
c u|end|end
catch u ltr|end|end
thnx u|end|end
thnks 4 ur help|end|end
im ok now|end|end
im fine|end|end
no further qns|end|end
that ’ s all i need|end|end
bye fr now|end|end
finih|end|end
singn off|end|end
endng|end|end
il be back ltr|end|end
shute down|end|end
nthing els|end|end
no mre|end|end
ive got it|end|end
wrap it upp|end|end
done fr now|end|end
loggng off|end|end
clse|end|end
ovr and out|end|end
that ’ s all 4 now|end|end
i ’ ll cht later|end|end
got 2 go|end|end
got ta goo|end|end
time to goo|end|end
enuf for today|end|end
termnat|end|end
ihav wht i need|end|end
im allset|end|end
im fine nw|end|end
il handl it|end|end
alldon|end|end
bye bye|end|end
no tnx|end|end
i hv 2 go|end|end
im gud , thx|end|end
endit here|end|end
discntinu|end|end
see u nxt time|end|end
wrapup|end|end
nothng more|end|end
were done|end|end
im satifi , thx|end|end
uve been help|end|end
im okay , thnks|end|end
that th end|end|end
talk ltr|end|end
il chk back ltr|end|end
im oout|end|end
gdbbye for now|end|end
singn out|end|end
thnkyou , gudby|end|end
got run|end|end
thx , im gud|end|end
l8r|end|end
nt right now|end|end
cal it a day|end|end
im dne here|end|end
that all i want|end|end
that all , thx|end|end
it a rap|end|end
se ya|end|end
im oki with this|end|end
nt today|end|end
hav a nice day|end|end
farewel|end|end
im loggin out|end|end
im headng out|end|end
im satifi with that|end|end
allright , gudby|end|end
that evryth|end|end
im off nw|end|end
u cn stop nw|end|end
i hav 2 leav|end|end
it time 2 stop|end|end
were finishd|end|end
no , im gd|end|end
thank you , that will be all .|end|end
i ’ m done for now , thank .|end|end
that 's it for today . goodby !|end|end
thank for your help . have a great day !|end|end
i ’ ve got everyth i need . bye !|end|end
thank ! i ’ ll take it from here .|end|end
all set , goodby !|end|end
thank , talk later !|end|end
that 's all i need . thank !|end|end
i 'm good now , bye !|end|end
i ’ m finish , thank you !|end|end
no more question , thank .|end|end
that ’ s all i want to ask , bye !|end|end
got it , i ’ m done . goodby !|end|end
thank , have a nice day !|end|end
i ’ m satisfi with that , thank !|end|end
i have all the info i need , thank !|end|end
alright , that answer my question . bye !|end|end
thank for your time . bye now !|end|end
i ’ ll handl the rest . thank , goodby !|end|end
all sort . thank for the help !|end|end
i 'm done here , talk to you later .|end|end
that ’ s everyth i want to know , thank !|end|end
i ’ m good now , take care !|end|end
thank for your assist , goodby !|end|end
i ’ m finish , have a great day !|end|end
no further question , thank !|end|end
that wa help , thank !|end|end
got what i need , thank !|end|end
that wrap it up , goodby !|end|end
thank for the info , bye !|end|end
i ’ ll get back to you later , bye !|end|end
okay , i ’ m all set . thank !|end|end
that ’ s it , thank for the help !|end|end
i ’ m good , talk later !|end|end
thank ! sign off now .|end|end
i think that cover everyth . bye !|end|end
i ’ m done here , thank you !|end|end
thank ! i ’ ll handl it from here .|end|end
appreci the help , bye !|end|end
thank you , i ’ m done for now .|end|end
that ’ ll be all for today , thank !|end|end
i ’ ve got all the answer i need , thank !|end|end
goodby ! thank for your assist .|end|end
no more question from me , thank !|end|end
thank ! i ’ ll reach out again if need .|end|end
i ’ m all set , thank a lot !|end|end
i appreci your help , bye !|end|end
that ’ s all i need . take care !|end|end
thank for your support , i ’ m good now .|end|end
i ’ m done for today . thank you !|end|end
thank you ! i ’ ll back later .|end|end
i ’ m finish ask question , thank !|end|end
thank for your help , i ’ m sign off .|end|end
i ’ ve got everyth i need . bye !|end|end
you ’ ve been help , thank you !|end|end
i appreci it , talk to you later !|end|end
i ’ m done here , thank !|end|end
that 's all for now . goodby !|end|end
thank a lot ! i ’ m out for now .|end|end
alright , thank for the info . goodby !|end|end
i ’ ve got what i need , bye for now !|end|end
thank you , i ’ ll follow up later .|end|end
that ’ s all the info i need . thank !|end|end
goodby ! thank again for your help .|end|end
i ’ ll catch up later , thank !|end|end
all set , thank a lot !|end|end
thank for assist me today , bye !|end|end
i appreci the answer . goodby !|end|end
that wrap it up . have a good day !|end|end
thank you , i ’ ll handl it from here .|end|end
i ’ m done here . talk soon !|end|end
i got what i need , thank !|end|end
thank for all the help , see you !|end|end
that answer my question . goodby !|end|end
i ’ ll take it from here , thank !|end|end
that ’ s all for me . take care !|end|end
i ’ ve got it from here . thank !|end|end
goodby , thank you !|end|end
i ’ m finish , have a good day !|end|end
thank a lot , see you later !|end|end
i ’ m good to go , thank !|end|end
that ’ s all i need , thank !|end|end
sign off now , thank !|end|end
thank , that will be all !|end|end
i ’ m all set , have a great day !|end|end
no more help need , thank !|end|end
all sort , i ’ m done here !|end|end
thank you for your time , goodby !|end|end
got everyth i want , thank !|end|end
thank ! i ’ ll reach out if i need more .|end|end
i ’ m done for now , thank a lot !|end|end
that ’ s everyth i need . goodby !|end|end
thank ! sign off for now .|end|end
that should do it , thank !|end|end
you ’ ve been veri help , thank !|end|end
i ’ ll catch up later , goodby !|end|end
thank for your assist today !|end|end
i ’ m done , have a nice day !|end|end
heart|heart|heart
cardiovascular|heart|heart
coronari arteri|heart|heart
aorta|heart|heart
atria|heart|heart
heart valv|heart|heart
mitral valv|heart|heart
aortic valv|heart|heart
tricuspid valv|heart|heart
pulmonari valv|heart|heart
septum|heart|heart
myocardium|heart|heart
pericardium|heart|heart
endocardium|heart|heart
sinoatri ( sa ) node|heart|heart
atrioventricular ( av ) node|heart|heart
bundl of his|heart|heart
purkinj fiber|heart|heart
electr conduct system|heart|heart
heart rate|heart|heart
puls|heart|heart
blood pressur|heart|heart
systol pressur|heart|heart
diastol pressur|heart|heart
ekg ( electrocardiogram )|heart|heart
echocardiogram|heart|heart
cardiac output|heart|heart
stroke volum|heart|heart
coronari circul|heart|heart
pulmonari circul|heart|heart
system circul|heart|heart
heart murmur|heart|heart
arrhythmia|heart|heart
tachycardia|heart|heart
bradycardia|heart|heart
atrial fibril|heart|heart
ventricular fibril|heart|heart
heart failur|heart|heart
congest heart failur|heart|heart
ischem heart diseas|heart|heart
angina|heart|heart
myocardi infarct|heart|heart
heart attack|heart|heart
cardiac arrest|heart|heart
sudden cardiac death|heart|heart
coronari arteri diseas ( cad )|heart|heart
peripher arteri diseas ( pad )|heart|heart
valvular heart diseas|heart|heart
cardiomyopathi|heart|heart
hypertens|heart|heart
hypotens|heart|heart
atherosclerosi|heart|heart
plaqu|heart|heart
risk factor|heart|heart
cholesterol|heart|heart
ldl ( low-dens lipoprotein )|heart|heart
hdl ( high-dens lipoprotein )|heart|heart
triglycerid|heart|heart
lipid profil|heart|heart
lifestyl modif|heart|heart
nutrit|heart|heart
exercis|heart|heart
smoke cessat|heart|heart
stress manag|heart|heart
medic adher|heart|heart
antiplatelet drug|heart|heart
beta-block|heart|heart
ace inhibitor|heart|heart
statin|heart|heart
diuret|heart|heart
anticoagul|heart|heart
thrombolyt|heart|heart
cardiac rehabilit|heart|heart
heart-healthi diet|heart|heart
mediterranean diet|heart|heart
dash diet|heart|heart
sodium restrict|heart|heart
physic activ|heart|heart
aerob exercis|heart|heart
strength train|heart|heart
monitor symptom|heart|heart
patient educ|heart|heart
inform consent|heart|heart
risk assess|heart|heart
famili histori|heart|heart
medic histori|heart|heart
physic examin|heart|heart
auscult|heart|heart
palpat|heart|heart
diagnost test|heart|heart
holter monitor|heart|heart
stress test|heart|heart
cardiac catheter|heart|heart
coronari angiographi|heart|heart
stent|heart|heart
bypass surgeri|heart|heart
cabg ( coronari arteri bypass graft )|heart|heart
heart transplant|heart|heart
ventricular assist devic ( vad )|heart|heart
heart-lung machin|heart|heart
cardiovers|heart|heart
defibril|heart|heart
pacemak|heart|heart
implant cardioverter-defibril ( icd )|heart|heart
electrophysiolog studi|heart|heart
arrhythmia manag|heart|heart
heart valv replac|heart|heart
transcathet aortic valv replac ( tavr )|heart|heart
endocard|heart|heart
pericard|heart|heart
myocard|heart|heart
cardiogen shock|heart|heart
heart sound|heart|heart
murmur|heart|heart
gallop|heart|heart
rub|heart|heart
jugular venous distent|heart|heart
edema|heart|heart
ascit|heart|heart
ankl swell|heart|heart
fatigu|heart|heart
dyspnea|heart|heart
orthopnea|heart|heart
paroxysm nocturn dyspnea|heart|heart
chest pain|heart|heart
discomfort|heart|heart
pressur|heart|heart
palpit|heart|heart
syncop|heart|heart
dizzi|heart|heart
nausea|heart|heart
sweat|heart|heart
anxieti|heart|heart
depress|heart|heart
heart health|heart|heart
cardiac monitor|heart|heart
blood test|heart|heart
b-type natriuret peptid ( bnp )|heart|heart
c-reactiv protein ( crp )|heart|heart
troponin|heart|heart
creatin kinas ( ck )|heart|heart
myoglobin|heart|heart
risk factor assess|heart|heart
heart diseas prevent|heart|heart
public health initi|heart|heart
cardiovascular screen|heart|heart
patient support group|heart|heart
health care provid|heart|heart
emerg care|heart|heart
advanc cardiac life support ( acl )|heart|heart
cpr ( cardiopulmonari resuscit )|heart|heart
first aid|heart|heart
heart diseas statist|heart|heart
cardiovascular health|heart|heart
health dispar|heart|heart
global health|heart|heart
medic research|heart|heart
clinic trial|heart|heart
innov in cardiolog|heart|heart
heart diseas awar|heart|heart
health promot|heart|heart
patient advocaci|heart|heart
telehealth|heart|heart
home monitor|heart|heart
medic manag|heart|heart
symptom track|heart|heart
care coordin|heart|heart
interdisciplinari team|heart|heart
share decision-mak|heart|heart
inform choic|heart|heart
healthcar access|heart|heart
patient-cent care|heart|heart
qualiti improv|heart|heart
patient satisfact|heart|heart
data collect|heart|heart
outcom measur|heart|heart
health literaci|heart|heart
chronic diseas manag|heart|heart
health coach|heart|heart
lifestyl intervent|heart|heart
behavior chang|heart|heart
motiv interview|heart|heart
communiti resourc|heart|heart
public health campaign|heart|heart
awar program|heart|heart
advocaci effort|heart|heart
health educ|heart|heart
diseas prevent|heart|heart
cardiovascular fit|heart|heart
well program|heart|heart
routin check-up|heart|heart
specialist referr|heart|heart
health insur|heart|heart
payment option|heart|heart
coverag detail|heart|heart
cost of care|heart|heart
out-of-pocket expens|heart|heart
health outcom|heart|heart
patient empower|heart|heart
left atrium|heart|heart
right atrium|heart|heart
left ventricl|heart|heart
right ventricl|heart|heart
interatri septum|heart|heart
interventricular septum|heart|heart
pulmonari arteri|heart|heart
pulmonari vein|heart|heart
coronari vein|heart|heart
chorda tendinea|heart|heart
papillari muscl|heart|heart
epicardium|heart|heart
sa node ( sinoatri node )|heart|heart
av node ( atrioventricular node )|heart|heart
heart wall|heart|heart
cardiac chamber|heart|heart
great vessel|heart|heart
aortic arch|heart|heart
descend aorta|heart|heart
ascend aorta|heart|heart
brachiocephal arteri|heart|heart
left common carotid arteri|heart|heart
left subclavian arteri|heart|heart
right coronari arteri|heart|heart
left coronari arteri|heart|heart
circumflex arteri|heart|heart
anterior interventricular arteri|heart|heart
posterior interventricular arteri|heart|heart
coronari sinus|heart|heart
fossa ovali|heart|heart
ligamentum arteriosum|heart|heart
sinus venosus|heart|heart
cardiac skeleton|heart|heart
aortic sinus|heart|heart
right atrial appendag|heart|heart
left atrial appendag|heart|heart
